id,source_text,target_text,alt_text
CLEVR_train_207,are the majority of the matte items shown circular? ,"[""SELECT['items']"", ""FILTER['#1', 'that are matte']"", ""FILTER['#2', 'that are circular']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#4', 'is the majority of the #2']""]","[""SELECT['items shown']"", ""FILTER['#1', 'that are matte']"", ""FILTER['#2', 'that are circular']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#4', 'is the highest']""]"
CLEVR_train_2070,How many shapes are either metallic or yellow?,"[""SELECT['shapes']"", ""FILTER['#1', 'that are metallic']"", ""FILTER['#1', 'that are yellow']"", ""AGGREGATE['count', '#2']"", ""AGGREGATE['count', '#3']"", ""ARITHMETIC['sum', '#4', '#5']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are metallic']"", ""FILTER['#1', 'that are yellow']"", ""UNION['#2', '#3']"", ""AGGREGATE['count', '#4']""]"
CLEVR_train_2072,Is the object that is the furthest to the back a cube?,"[""SELECT['object']"", ""FILTER['#1', 'that is furthest to the back']"", ""BOOLEAN['#2', 'is a cube']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are furthest to the back']"", ""BOOLEAN['#2', 'is a cube']""]"
CLEVR_train_2074,Is there a small red thing?,"[""SELECT['things']"", ""FILTER['#1', 'that Is small']"", ""FILTER['#2', 'that Is red']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#4', 'more than zero']""]","[""SELECT['small thing']"", ""FILTER['#1', 'that is red']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3', 'is higher than zero']""]"
CLEVR_train_2077,Is the number of shiny objects equal to the number of cubes?,"[""SELECT['objects']"", ""FILTER['#1', 'that are shiny']"", ""AGGREGATE['count', '#2']"", ""SELECT['cubes']"", ""AGGREGATE['count', '#4']"", ""BOOLEAN['#3', 'equal to #5']""]","[""SELECT['shiny objects']"", ""SELECT['cubes']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3', 'the same as #4']""]."
CLEVR_train_2078,is one of the two items that matches the background color also a small object? ,"[""SELECT['the background']"", ""PROJECT['color of #REF', '#1']"", ""SELECT['items']"", ""PROJECT['colors of #REF', '#3']"", ""COMPARATIVE['#3', '#4', 'is the same as #2']"", ""FILTER['#5', 'that are small']"", ""AGGREGATE['count', '#6']"", ""BOOLEAN['#7', 'is one']""]","[""SELECT['items']"", ""FILTER['#1', 'that match the background color']"", ""FILTER['#2', 'that are small objects']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#4', 'is equal to one']""]"
CLEVR_train_2079,What number of other things are the same color as the matte cylinder?,"[""SELECT['matte cylinder']"", ""SELECT['things']"", ""DISCARD['#2', '#1']"", ""PROJECT['color of #REF', '#1']"", ""PROJECT['color of #REF', '#3']"", ""COMPARATIVE['#3', '#4', 'is the same as #5']"", ""AGGREGATE['count', '#6']""]","[""SELECT['the matte cylinder']"", ""SELECT['objects']"", ""DISCARD['#2', '#1']"", ""PROJECT['color of #REF', '#1']"", ""PROJECT['colors of #REF', '#3']"", ""COMPARATIVE['#3', '#5', 'is the same as #4']"", ""AGGREGATE['count', '#6']""]"
CLEVR_train_2081,How many small objects appear in there photo?,"[""SELECT['objects']"", ""FILTER['#1', 'that appear in the photo']"", ""FILTER['#2', 'that are small']"", ""AGGREGATE['count', '#3']""]","[""SELECT['small objects']"", ""AGGREGATE['count', '#1']""]"
CLEVR_train_2082,What is the color object mostly hidden behind the teal cube?,"[""SELECT['the teal cube']"", ""SELECT['objects']"", ""FILTER['#2', 'that are mostly hidden behind #1']"", ""PROJECT['the color of #REF', '#3']""]","[""SELECT['the teal cube']"", ""SELECT['objects']"", ""DISCARD['#2', '#1']"", ""FILTER['#3','mostly hidden behind #1']"", ""PROJECT['color of #REF', '#4']""]"
CLEVR_train_2084,If you would turn the purple plastic object on its side would it stay in place?,"[""SELECT['objects']"", ""FILTER['#1', 'that are purple']"", ""FILTER['#2', 'that are plastic']"", ""BOOLEAN['#3', 'is turn on its side would it stay in place']""]","[""SELECT['purple object']"", ""FILTER['#1', 'that is plastic']"", ""PROJECT['side of #REF', '#2']"", ""BOOLEAN['#3', 'would stay in place if you would turn on #4']""]"
CLEVR_train_2085,is the red cube to the left of the small cube?,"[""SELECT['the small cube']"", ""SELECT['the red cube']"", ""BOOLEAN['#2', 'is to the left of #1']""]","[""SELECT['cubes']"", ""FILTER['#1', 'that are small']"", ""SELECT['the red cube']"", ""BOOLEAN['#3', 'is to the left of #2']""]"
CLEVR_train_2086,Are there more than 2 cubes?,"[""SELECT['cubes']"", ""AGGREGATE['count', '#1']"", ""BOOLEAN['#2', 'is higher than 2']""]","[""SELECT['cubes']"", ""AGGREGATE['count', '#1']"", ""BOOLEAN['#2', 'higher than 2']""]"
CLEVR_train_2087,Is more than half of the objects a cube,"[""SELECT['objects']"", ""SELECT['cubes']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#4', 'is more than half of #3']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are cubes']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3','more than half of #4']""]"
CLEVR_train_2088,Are there any shapes the same as the purple one?,"[""SELECT['shape']"", ""PROJECT['purple #REF', '#1']"", ""SELECT['shapes']"", ""BOOLEAN['if_exist', '#3', 'same as #2']""]","[""SELECT['shapes']"", ""FILTER['#1', 'that is purple']"", ""DISCARD['#1', '#2']"", ""PROJECT['shape of #REF', '#2']"", ""BOOLEAN['if_exist', '#3', 'is the same as #4']""]"
CLEVR_train_2089,Which primary color is missing?,"[""SELECT['objects']"", ""PROJECT['colors of #REF', '#1']"", ""FILTER['#2', 'that are primary colors']"", ""SELECT['primary colors']"", ""DISCARD['#4', '#3']""]","[""SELECT['colors']"", ""FILTER['#1', 'that is primary']"", ""FILTER['#2', 'that is missing']""]"
CLEVR_train_2090,How many balls are yellow?,"[""SELECT['objects']"", ""FILTER['#1', 'that are balls']"", ""FILTER['#2', 'that are yellow']"", ""AGGREGATE['count', '#3']""]","[""SELECT['yellow balls']"", ""AGGREGATE['count', '#1']""]"
CLEVR_train_2091,Are there more metallic cubes than balls?,"[""SELECT['metallic cubes']"", ""SELECT['balls']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3', 'higher than #4']""]","[""SELECT['metallic cubes']"", ""SELECT['balls']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3', 'is more than #4']""]"
CLEVR_train_2094,Do any two objects in this image have the same paint job?,"[""SELECT['objects in the image']"", ""PROJECT['the paint jobs of #REF', '#1']"", ""GROUP['count', '#1', '#2']"", ""COMPARATIVE['#2', '#3', 'is two']"", ""AGGREGATE['count', '#4']"", ""BOOLEAN['#5', 'is at least one']""]","[""SELECT['objects in this image']"", ""PROJECT['paint jobs of #REF', '#1']"", ""BOOLEAN['#2', 'if any two #REF are the same']""]"
CLEVR_train_2096,What color is the shiny red sphere?,"[""SELECT['the shiny red sphere']"", ""PROJECT['the color of #REF', '#1']""]","[""SELECT['shiny sphere']"", ""FILTER['#1', 'that is red']"", ""PROJECT['color of #REF', '#2']""]"
CLEVR_train_2099,How many objects are completely visible in this image?,"[""SELECT['objects']"", ""FILTER['#1', 'that are completely visible']"", ""AGGREGATE['count', '#2']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are completely visible in this image']"", ""AGGREGATE['count', '#2']""]"
CLEVR_train_21,Is the small sphere shaped blue object the same size as the yellow object with the same shape?,"[""SELECT['objects']"", ""PROJECT['shape of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is sphere']"", ""FILTER['#3', 'that is blue']"", ""FILTER['#3', 'that is yellow']"", ""FILTER['#4', 'that is small']"", ""PROJECT['size of #REF', '#6']"", ""PROJECT['size of #REF', '#5']"", ""BOOLEAN['#7', 'the same as #8']""]","[""SELECT['the small sphere shaped blue object']"", ""SELECT['the yellow object']"", ""PROJECT['the size of #REF', '#1']"", ""PROJECT['the size of #REF', '#2']"", ""BOOLEAN['#3', 'is the same as #4']""]"
CLEVR_train_2100,which colored cube is the largest?,"[""SELECT['cubes']"", ""FILTER['#1', 'that is the largest']"", ""PROJECT['color of #REF', '#2']""]","[""SELECT['cubes']"", ""FILTER['#1', 'that is largest']"", ""PROJECT['color of #REF', '#2']""]"
CLEVR_train_2102,Are the two purple balls made from the same material?,"[""SELECT['purple balls']"", ""PROJECT['materials of #REF', '#1']"", ""BOOLEAN['#2', 'both the same']""]","[""SELECT['purple balls']"", ""PROJECT['material of #REF', '#1']"", ""BOOLEAN['#2', 'both the same']""]"
CLEVR_train_2103,What color are both cubes that are side by side?,"[""SELECT['cubes']"", ""FILTER['#1', 'that are side by side']"", ""PROJECT['color of both #REF', '#2']""]","[""SELECT['cubes']"", ""FILTER['#1', 'that are side by side']"", ""PROJECT['color of #REF', '#2']""]"
CLEVR_train_2104,What shape is the object to the left of the small balls?,"[""SELECT['object']"", ""SELECT['small balls']"", ""FILTER['#1', 'to the left of #2']"", ""PROJECT['shape of #REF', '#3']""]","[""SELECT['objects']"", ""SELECT['balls']"", ""FILTER['#2', 'that are small']"", ""FILTER['#1', 'to the left of #3']"", ""PROJECT['the shape of #REF', '#4']""]"
CLEVR_train_2105,what is the color of the object closest to the cyan cylinder?,"[""SELECT['object']"", ""SELECT['cyan cylinder']"", ""FILTER['#1', 'closest to #2']"", ""PROJECT['color of #REF', '#3']""]","[""SELECT['the cyan cylinder']"", ""SELECT['objects']"", ""FILTER['#2', 'closest to #1']"", ""PROJECT['the color of #REF', '#3']""]"
CLEVR_train_2106,How many shiny things are cube or cylinder objects?,"[""SELECT['things']"", ""FILTER['#1', 'that are shiny']"", ""FILTER['#2', 'that are cube']"", ""FILTER['#2', 'that are cylinder']"", ""AGGREGATE['count', '#3']"", ""AGGREGATE['count', '#4']"", ""ARITHMETIC['sum', '#5', '#6']""]","[""SELECT['things']"", ""FILTER['#1', 'that are shiny']"", ""FILTER['#2', 'that are cube objects']"", ""FILTER['#2', 'that are cylinder objects']"", ""AGGREGATE['count', '#3']"", ""AGGREGATE['count', '#4']"", ""UNION['#5', '#6']""]"
CLEVR_train_2107,How many of these objects of all shapes and sizes are red in color?,"[""SELECT['objects']"", ""PROJECT['colors of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is red']"", ""AGGREGATE['count', '#3']""]","[""SELECT['objects']"", ""PROJECT['colors of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'are red']"", ""AGGREGATE['count', '#3']""]"
CLEVR_train_2110,How many red objects are there in this photo?,"[""SELECT['objects']"", ""FILTER['#1', 'that are red']"", ""AGGREGATE['count', '#2']""]","[""SELECT['red objects']"", ""AGGREGATE['count', '#1']""]"
CLEVR_train_2112,Which shape is made of both metal and rubber?,"[""SELECT['objects']"", ""FILTER['#1', 'that are metal']"", ""FILTER['#1', 'that are rubber']"", ""SELECT['shape']"", ""INTERSECTION['#4', '#2', '#3']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are metal']"", ""FILTER['#1', 'that are rubber']"", ""INTERSECTION['#1', '#2', '#3']"", ""PROJECT['the shape of #REF', '#4']""]"
CLEVR_train_2114,How many small objects are between the two shiny objects?,"[""SELECT['small objects']"", ""SELECT['shiny objects']"", ""FILTER['#1', 'between #2']"", ""AGGREGATE['count', '#3']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are shiny']"", ""PROJECT['small objects between #REF', '#2']"", ""AGGREGATE['count', '#3']""]"
CLEVR_train_2115,What color is shared by the two same cylinders?,"[""SELECT['cylinders']"", ""PROJECT['colors of #REF', '#1']"", ""GROUP['count', '#1', '#2']"", ""COMPARATIVE['#2', '#3', 'is two']""]","[""SELECT['cylinders']"", ""PROJECT['colors of #REF', '#1']"", ""GROUP['count', '#1', '#2']"", ""COMPARATIVE['#2', '#3', 'is one']""]"
CLEVR_train_2118,Are the more cubes or balls?,"[""SELECT['cubes']"", ""AGGREGATE['count', '#1']"", ""SELECT['balls']"", ""AGGREGATE['count', '#3']"", ""COMPARISON['max', '#2', '#4']""]","[""SELECT['cubes']"", ""PROJECT['size of #REF', '#1']"", ""SELECT['balls']"", ""PROJECT['size of #REF', '#3']"", ""COMPARISON['max', '#2', '#4']""]"
CLEVR_train_2119,Are there any small cubes the same material as the largest cube?,"[""SELECT['cubes']"", ""PROJECT['size of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is the highest']"", ""FILTER['#1', 'that are small']"", ""PROJECT['material of #REF', '#3']"", ""PROJECT['materials of #REF', '#4']"", ""COMPARATIVE['#4', '#6', 'is the same as #5']"", ""AGGREGATE['count', '#7']"", ""BOOLEAN['#8', 'is at least one']""]","[""SELECT['small cubes']"", ""SELECT['largest cube']"", ""PROJECT['material of #REF', '#1']"", ""PROJECT['material of #REF', '#2']"", ""COMPARATIVE['#1', '#3', 'is the same as #4']"", ""AGGREGATE['count', '#5']"", ""BOOLEAN['#6', 'is higher than zero']""]"
CLEVR_train_212,How many gray objects are in this photo?,"[""SELECT['objects in this photo']"", ""FILTER['#1', 'that are gray']"", ""AGGREGATE['count', '#2']""]","[""SELECT['gray objects']"", ""AGGREGATE['count', '#1']""]"
CLEVR_train_2121,What color are the two shapes that are the same color and shape but different sizes?,"[""SELECT['objects']"", ""PROJECT['colors of #REF', '#1']"", ""PROJECT['shapes of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'are the same']"", ""COMPARATIVE['#1', '#3', 'are the same']"", ""INTERSECTION['#1', '#4', '#5']"", ""PROJECT['sizes of #REF', '#6']"", ""COMPARATIVE['#6', '#7', 'are different']"", ""PROJECT['color of #REF', '#8']""]","[""SELECT['shapes']"", ""PROJECT['colors of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'are the same']"", ""PROJECT['shapes of #REF', '#1']"", ""COMPARATIVE['#1', '#4', 'are the same']"", ""INTERSECTION['#1', '#3', '#5']"", ""PROJECT['sizes of #REF', '#6']"", ""COMPARATIVE['#6', '#7', 'are different']"", ""PROJECT['color of #REF', '#8']""]"
CLEVR_train_2122,"are the three, small brown items shown comprised of the same material?","[""SELECT['items shown']"", ""FILTER['#1', 'that are brown']"", ""FILTER['#2', 'that are small']"", ""PROJECT['the materials that #REF are comprised of', '#3']"", ""BOOLEAN['#4', 'are the same']""]","[""SELECT['items shown']"", ""FILTER['#1', 'that are small']"", ""FILTER['#2', 'that are brown']"", ""PROJECT['materials that #REF are comprised of', '#3']"", ""BOOLEAN['#4', 'are the same']""]"
CLEVR_train_2124,What is the combined number of corners for all objects?,"[""SELECT['objects']"", ""PROJECT['corners of #REF', '#1']"", ""GROUP['count', '#2', '#1']"", ""AGGREGATE['sum', '#3']""]","[""SELECT['objects']"", ""PROJECT['corners of #REF', '#1']"", ""GROUP['count', '#2', '#1']""."
CLEVR_train_2125,Is the purple ball the same size as the gray ball?,"[""SELECT['purple ball']"", ""SELECT['gray ball']"", ""PROJECT['size of #REF', '#1']"", ""PROJECT['size of #REF', '#2']"", ""BOOLEAN['#3', 'the same as #4']""]","[""SELECT['balls']"", ""FILTER['#1', 'that are purple']"", ""FILTER['#1', 'that are gray']"", ""PROJECT['size of #REF', '#2']"", ""PROJECT['size of #REF', '#3']"", ""BOOLEAN['#4', 'is same as #5']""]"
CLEVR_train_2126,are the shiny balls all the same size?,"[""SELECT['balls']"", ""FILTER['#1', 'that are shiny']"", ""PROJECT['size of #REF', '#2']"", ""BOOLEAN['#3', 'is all #REF the same']""]","[""SELECT['shiny balls']"", ""PROJECT['sizes of #REF', '#1']"", ""BOOLEAN['#2', 'if all #REF are the same']""]"
CLEVR_train_2127,What is the shape of the object farthest from the camera?,"[""SELECT['object']"", ""FILTER['#1', 'farthest from the camera']"", ""PROJECT['shape of #REF', '#2']""]","[""SELECT['object']"", ""FILTER['#1', 'that is farthest from the camera']"", ""PROJECT['shape of #REF', '#2']""]"
CLEVR_train_2129,What color is the object between the yellow objects?,"[""SELECT['yellow objects']"", ""PROJECT['the object between #REF', '#1']"", ""PROJECT['color of #REF', '#2']""]","[""SELECT['the yellow objects']"", ""SELECT['objects']"", ""FILTER['#2', 'that are between #1']"", ""PROJECT['the color of #REF', '#3']""]"
CLEVR_train_2130,which color is a cylinder?,"[""SELECT['cylinders']"", ""PROJECT['colors of #REF', '#1']""]","[""SELECT['cylinder']"", ""PROJECT['color of #REF', '#1']""]"
CLEVR_train_2131,How many shiny things are in front of the blue cube?,"[""SELECT['shiny things']"", ""SELECT['blue cube']"", ""FILTER['#1', 'in front of #2']"", ""AGGREGATE['count', '#3']""]","[""SELECT['the blue cube']"", ""SELECT['things']"", ""FILTER['#2', 'that are shiny']"", ""FILTER['#3', 'that are in front of #1']"", ""AGGREGATE['count', '#4']""]"
CLEVR_train_2132,What is the smallestt object away from the camera?,"[""SELECT['smallestt object']"", ""FILTER['#1', 'that is away from the camera']"", ""PROJECT['What is #REF', '#2']""]","[""SELECT['smallestt object']"", ""FILTER['#1', 'that is away from the camera']"", ""PROJECT['What is #REF', '#2']""]"
CLEVR_train_2133,What shape is the object between the purple balls?,"[""SELECT['balls']"", ""FILTER['#1', 'that are purple']"", ""SELECT['objects']"", ""FILTER['#3', 'that are between the #2']"", ""PROJECT['the shape of #REF', '#4']""]","[""SELECT['objects']"", ""SELECT['purple balls']"", ""FILTER['#1', 'that is between #2']"", ""PROJECT['shape of #REF', '#3']""]"
CLEVR_train_2137,How many objects have curves in them?,"[""SELECT['objects']"", ""FILTER['#1', 'that have curves in them']"", ""AGGREGATE['count', '#2']""]","[""SELECT['objects']"", ""PROJECT['curves of #REF', '#1']"", ""AGGREGATE['count', '#2']""]"
CLEVR_train_2143,Are more than a third of the objects spheres?,"[""SELECT['objects']"", ""FILTER['#1', 'that are spheres']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""PROJECT['third of #REF', '#3']"", ""BOOLEAN['#4', 'larger than #5']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are spheres']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3','more than a third']""]"
